bp_point_datamaps.var_dst -> bp_process_vars.id  [bp_point_datamaps_var_dst_bp_process_vars_fk]
bp_point_datamaps.var_src -> bp_process_vars.id  [bp_point_datamaps_var_src_bp_process_vars_fk]
bp_point_datamaps.var_src_out -> bp_process_vars.id  [bp_point_datamaps_var_src_out_bp_process_vars_fk]
bp_point_jrn_vars.jrn_id -> bp_point_jrns.id  [bp_point_jrn_vars_jrn_id_bp_point_jrns_fk]
bp_point_jrn_vars.point_var_id -> bp_point_vars.id  [bp_point_jrn_vars_point_var_id_bp_point_vars_fk]
bp_point_jrns.instance_id -> bp_instances.id  [bp_point_jrns_instance_id_bp_instances_fk]
bp_point_jrns.point_id -> bp_points.id  [bp_point_jrns_point_id_bp_points_fk]
bp_point_jrns.user_id -> users.id  [bp_point_jrns_user_id_users_fk]
bp_point_scripts.point_id -> bp_points.id  [bp_point_scripts_point_id_bp_points_fk]
bp_point_scripts.script_id -> bp_scripts.id  [bp_point_scripts_script_id_bp_scripts_fk]
bp_point_sf_output_vars.point_id -> bp_points.id  [bp_point_sf_output_vars_point_id_bp_points_fk]
bp_point_sf_output_vars.sf_id -> bp_sequence_flows.id  [bp_point_sf_output_vars_sf_id_bp_sequence_flows_fk]
bp_point_sf_output_vars.var_id -> bp_process_vars.id  [bp_point_sf_output_vars_var_id_bp_process_vars_fk]
bp_point_sfs.point_id -> bp_points.id  [bp_point_sfs_point_id_bp_points_fk]
bp_point_sfs.sf_id -> bp_sequence_flows.id  [bp_point_sfs_sf_id_bp_sequence_flows_fk]
bp_point_sub_types.created_by -> users.id  [bp_point_sub_types_created_by_users_fk]
bp_point_types.created_by -> users.id  [bp_point_types_created_by_users_fk]
bp_point_types.sub_type_id -> bp_point_sub_types.id  [bp_point_types_sub_type_id_bp_point_sub_types_fk]
bp_point_vars.created_by -> users.id  [bp_point_vars_created_by_users_fk]
bp_point_vars.point_id -> bp_points.id  [bp_point_vars_point_id_bp_points_fk]
bp_point_vars.ui_width_id -> ui_widths.id  [bp_point_vars_ui_width_id_ui_widths_fk]
bp_point_vars.var_id -> bp_process_vars.id  [bp_point_vars_var_id_bp_process_vars_fk]
bp_point_waits.created_by -> users.id  [bp_point_waits_created_by_users_fk]
bp_point_waits.instance_id -> bp_instances.id  [bp_point_waits_instance_id_bp_instances_fk]
bp_point_waits.move_id -> acc_moves.id  [bp_point_waits_move_id_acc_moves_fk]
bp_point_waits.point_id -> bp_points.id  [bp_point_waits_point_id_bp_points_fk]
bp_point_waits.updated_by -> users.id  [bp_point_waits_updated_by_users_fk]
bp_points.actor_id -> bp_actors.id  [bp_points_actor_id_bp_actors_fk]
bp_points.actor_role_id -> roles.id  [bp_points_actor_role_id_roles_fk]
bp_points.actor_type_id -> bp_actor_types.id  [bp_points_actor_type_id_bp_actor_types_fk]
bp_points.actor_user_id -> users.id  [bp_points_actor_user_id_users_fk]
bp_points.actor_var_id -> bp_process_vars.id  [bp_points_actor_var_id_bp_process_vars_fk]
bp_points.created_by -> users.id  [bp_points_created_by_users_fk]
bp_points.css_class_id -> bp_point_css_classes.id  [bp_points_css_class_id_bp_point_css_classes_fk]
bp_points.on_task_create -> bp_processes.id  [bp_points_on_task_create_bp_processes_fk]
bp_points.process_id -> bp_processes.id  [bp_points_process_id_bp_processes_fk]
bp_points.role_id -> roles.id  [bp_points_role_id_roles_fk]
bp_points.script_type_id -> bp_script_types.id  [bp_points_script_type_id_bp_script_types_fk]
bp_points.subprocess_id -> bp_processes.id  [bp_points_subprocess_id_bp_processes_fk]
bp_points.type_id -> bp_point_types.id  [bp_points_type_id_bp_point_types_fk]
bp_points.usertask_page_id -> pages.id  [bp_points_usertask_page_id_pages_fk]
bp_points.usertask_role_id -> roles.id  [bp_points_usertask_role_id_roles_fk]
bp_points.ut_tpl_id -> bp_ut_tpls.id  [bp_points_ut_tpl_id_bp_ut_tpls_fk]
bp_points.wsdl_id -> bp_wsdls.id  [bp_points_wsdl_id_bp_wsdls_fk]
bp_points_cus_block_places.created_by -> users.id  [bp_points_cus_block_places_created_by_users_fk]
bp_points_cus_blocks.bp_points_id -> bp_points.id  [bp_points_cus_blocks_bp_points_id_bp_points_fk]
bp_points_cus_blocks.place_id -> bp_points_cus_block_places.id  [bp_points_cus_blocks_place_id_bp_points_cus_block_places_fk]
